Date,Year,Quarter,Quarter_Number,Month_Number,Month_Name,Month_Short,Week_Number,Day_Of_Month,Day_Of_Week_Number,Day_Name,Is_Weekend,Season_Name
2024-03-17,2024,Q1,1,3,March,Mar,11,17,7,Sunday,1,Spring
2024-03-18,2024,Q1,1,3,March,Mar,12,18,1,Monday,0,Spring
2024-03-19,2024,Q1,1,3,March,Mar,12,19,2,Tuesday,0,Spring
2024-03-20,2024,Q1,1,3,March,Mar,12,20,3,Wednesday,0,Spring
2024-03-21,2024,Q1,1,3,March,Mar,12,21,4,Thursday,0,Spring
2024-03-22,2024,Q1,1,3,March,Mar,12,22,5,Friday,0,Spring
2024-03-23,2024,Q1,1,3,March,Mar,12,23,6,Saturday,1,Spring
2024-03-24,2024,Q1,1,3,March,Mar,12,24,7,Sunday,1,Spring
2024-03-25,2024,Q1,1,3,March,Mar,13,25,1,Monday,0,Spring
2024-03-26,2024,Q1,1,3,March,Mar,13,26,2,Tuesday,0,Spring
2024-03-27,2024,Q1,1,3,March,Mar,13,27,3,Wednesday,0,Spring
2024-03-28,2024,Q1,1,3,March,Mar,13,28,4,Thursday,0,Spring
2024-03-29,2024,Q1,1,3,March,Mar,13,29,5,Friday,0,Spring
2024-03-30,2024,Q1,1,3,March,Mar,13,30,6,Saturday,1,Spring
2024-03-31,2024,Q1,1,3,March,Mar,13,31,7,Sunday,1,Spring
2024-04-01,2024,Q2,2,4,April,Apr,14,1,1,Monday,0,Spring
2024-04-02,2024,Q2,2,4,April,Apr,14,2,2,Tuesday,0,Spring
2024-04-03,2024,Q2,2,4,April,Apr,14,3,3,Wednesday,0,Spring
2024-04-04,2024,Q2,2,4,April,Apr,14,4,4,Thursday,0,Spring
2024-04-05,2024,Q2,2,4,April,Apr,14,5,5,Friday,0,Spring
2024-04-06,2024,Q2,2,4,April,Apr,14,6,6,Saturday,1,Spring
2024-04-07,2024,Q2,2,4,April,Apr,14,7,7,Sunday,1,Spring
2024-04-08,2024,Q2,2,4,April,Apr,15,8,1,Monday,0,Spring
2024-04-09,2024,Q2,2,4,April,Apr,15,9,2,Tuesday,0,Spring
2024-04-10,2024,Q2,2,4,April,Apr,15,10,3,Wednesday,0,Spring
2024-04-11,2024,Q2,2,4,April,Apr,15,11,4,Thursday,0,Spring
2024-04-12,2024,Q2,2,4,April,Apr,15,12,5,Friday,0,Spring
2024-04-13,2024,Q2,2,4,April,Apr,15,13,6,Saturday,1,Spring
2024-04-14,2024,Q2,2,4,April,Apr,15,14,7,Sunday,1,Spring
2024-04-15,2024,Q2,2,4,April,Apr,16,15,1,Monday,0,Spring
2024-04-16,2024,Q2,2,4,April,Apr,16,16,2,Tuesday,0,Spring
2024-04-17,2024,Q2,2,4,April,Apr,16,17,3,Wednesday,0,Spring
2024-04-18,2024,Q2,2,4,April,Apr,16,18,4,Thursday,0,Spring
2024-04-19,2024,Q2,2,4,April,Apr,16,19,5,Friday,0,Spring
2024-04-20,2024,Q2,2,4,April,Apr,16,20,6,Saturday,1,Spring
2024-04-21,2024,Q2,2,4,April,Apr,16,21,7,Sunday,1,Spring
2024-04-22,2024,Q2,2,4,April,Apr,17,22,1,Monday,0,Spring
2024-04-23,2024,Q2,2,4,April,Apr,17,23,2,Tuesday,0,Spring
2024-04-24,2024,Q2,2,4,April,Apr,17,24,3,Wednesday,0,Spring
2024-04-25,2024,Q2,2,4,April,Apr,17,25,4,Thursday,0,Spring
2024-04-26,2024,Q2,2,4,April,Apr,17,26,5,Friday,0,Spring
2024-04-27,2024,Q2,2,4,April,Apr,17,27,6,Saturday,1,Spring
2024-04-28,2024,Q2,2,4,April,Apr,17,28,7,Sunday,1,Spring
2024-04-29,2024,Q2,2,4,April,Apr,18,29,1,Monday,0,Spring
2024-04-30,2024,Q2,2,4,April,Apr,18,30,2,Tuesday,0,Spring
2024-05-01,2024,Q2,2,5,May,May,18,1,3,Wednesday,0,Spring
2024-05-02,2024,Q2,2,5,May,May,18,2,4,Thursday,0,Spring
2024-05-03,2024,Q2,2,5,May,May,18,3,5,Friday,0,Spring
2024-05-04,2024,Q2,2,5,May,May,18,4,6,Saturday,1,Spring
2024-05-05,2024,Q2,2,5,May,May,18,5,7,Sunday,1,Spring
2024-05-06,2024,Q2,2,5,May,May,19,6,1,Monday,0,Spring
2024-05-07,2024,Q2,2,5,May,May,19,7,2,Tuesday,0,Spring
2024-05-08,2024,Q2,2,5,May,May,19,8,3,Wednesday,0,Spring
2024-05-09,2024,Q2,2,5,May,May,19,9,4,Thursday,0,Spring
2024-05-10,2024,Q2,2,5,May,May,19,10,5,Friday,0,Spring
2024-05-11,2024,Q2,2,5,May,May,19,11,6,Saturday,1,Spring
2024-05-12,2024,Q2,2,5,May,May,19,12,7,Sunday,1,Spring
2024-05-13,2024,Q2,2,5,May,May,20,13,1,Monday,0,Spring
2024-05-14,2024,Q2,2,5,May,May,20,14,2,Tuesday,0,Spring
2024-05-15,2024,Q2,2,5,May,May,20,15,3,Wednesday,0,Spring
2024-05-16,2024,Q2,2,5,May,May,20,16,4,Thursday,0,Spring
2024-05-17,2024,Q2,2,5,May,May,20,17,5,Friday,0,Spring
2024-05-18,2024,Q2,2,5,May,May,20,18,6,Saturday,1,Spring
2024-05-19,2024,Q2,2,5,May,May,20,19,7,Sunday,1,Spring
2024-05-20,2024,Q2,2,5,May,May,21,20,1,Monday,0,Spring
2024-05-21,2024,Q2,2,5,May,May,21,21,2,Tuesday,0,Spring
2024-05-22,2024,Q2,2,5,May,May,21,22,3,Wednesday,0,Spring
2024-05-23,2024,Q2,2,5,May,May,21,23,4,Thursday,0,Spring
2024-05-24,2024,Q2,2,5,May,May,21,24,5,Friday,0,Spring
2024-05-25,2024,Q2,2,5,May,May,21,25,6,Saturday,1,Spring
2024-05-26,2024,Q2,2,5,May,May,21,26,7,Sunday,1,Spring
2024-05-27,2024,Q2,2,5,May,May,22,27,1,Monday,0,Spring
2024-05-28,2024,Q2,2,5,May,May,22,28,2,Tuesday,0,Spring
2024-05-29,2024,Q2,2,5,May,May,22,29,3,Wednesday,0,Spring
2024-05-30,2024,Q2,2,5,May,May,22,30,4,Thursday,0,Spring
2024-05-31,2024,Q2,2,5,May,May,22,31,5,Friday,0,Spring
2024-06-01,2024,Q2,2,6,June,Jun,22,1,6,Saturday,1,Monsoon/Summer
2024-06-02,2024,Q2,2,6,June,Jun,22,2,7,Sunday,1,Monsoon/Summer
2024-06-03,2024,Q2,2,6,June,Jun,23,3,1,Monday,0,Monsoon/Summer
2024-06-04,2024,Q2,2,6,June,Jun,23,4,2,Tuesday,0,Monsoon/Summer
2024-06-05,2024,Q2,2,6,June,Jun,23,5,3,Wednesday,0,Monsoon/Summer
2024-06-06,2024,Q2,2,6,June,Jun,23,6,4,Thursday,0,Monsoon/Summer
2024-06-07,2024,Q2,2,6,June,Jun,23,7,5,Friday,0,Monsoon/Summer
2024-06-08,2024,Q2,2,6,June,Jun,23,8,6,Saturday,1,Monsoon/Summer
2024-06-09,2024,Q2,2,6,June,Jun,23,9,7,Sunday,1,Monsoon/Summer
2024-06-10,2024,Q2,2,6,June,Jun,24,10,1,Monday,0,Monsoon/Summer
2024-06-11,2024,Q2,2,6,June,Jun,24,11,2,Tuesday,0,Monsoon/Summer
2024-06-12,2024,Q2,2,6,June,Jun,24,12,3,Wednesday,0,Monsoon/Summer
2024-06-13,2024,Q2,2,6,June,Jun,24,13,4,Thursday,0,Monsoon/Summer
2024-06-14,2024,Q2,2,6,June,Jun,24,14,5,Friday,0,Monsoon/Summer
2024-06-15,2024,Q2,2,6,June,Jun,24,15,6,Saturday,1,Monsoon/Summer
2024-06-16,2024,Q2,2,6,June,Jun,24,16,7,Sunday,1,Monsoon/Summer
2024-06-17,2024,Q2,2,6,June,Jun,25,17,1,Monday,0,Monsoon/Summer
2024-06-18,2024,Q2,2,6,June,Jun,25,18,2,Tuesday,0,Monsoon/Summer
2024-06-19,2024,Q2,2,6,June,Jun,25,19,3,Wednesday,0,Monsoon/Summer
2024-06-20,2024,Q2,2,6,June,Jun,25,20,4,Thursday,0,Monsoon/Summer
2024-06-21,2024,Q2,2,6,June,Jun,25,21,5,Friday,0,Monsoon/Summer
2024-06-22,2024,Q2,2,6,June,Jun,25,22,6,Saturday,1,Monsoon/Summer
2024-06-23,2024,Q2,2,6,June,Jun,25,23,7,Sunday,1,Monsoon/Summer
2024-06-24,2024,Q2,2,6,June,Jun,26,24,1,Monday,0,Monsoon/Summer
2024-06-25,2024,Q2,2,6,June,Jun,26,25,2,Tuesday,0,Monsoon/Summer
2024-06-26,2024,Q2,2,6,June,Jun,26,26,3,Wednesday,0,Monsoon/Summer
2024-06-27,2024,Q2,2,6,June,Jun,26,27,4,Thursday,0,Monsoon/Summer
2024-06-28,2024,Q2,2,6,June,Jun,26,28,5,Friday,0,Monsoon/Summer
2024-06-29,2024,Q2,2,6,June,Jun,26,29,6,Saturday,1,Monsoon/Summer
2024-06-30,2024,Q2,2,6,June,Jun,26,30,7,Sunday,1,Monsoon/Summer
2024-07-01,2024,Q3,3,7,July,Jul,27,1,1,Monday,0,Monsoon/Summer
2024-07-02,2024,Q3,3,7,July,Jul,27,2,2,Tuesday,0,Monsoon/Summer
2024-07-03,2024,Q3,3,7,July,Jul,27,3,3,Wednesday,0,Monsoon/Summer
2024-07-04,2024,Q3,3,7,July,Jul,27,4,4,Thursday,0,Monsoon/Summer
2024-07-05,2024,Q3,3,7,July,Jul,27,5,5,Friday,0,Monsoon/Summer
2024-07-06,2024,Q3,3,7,July,Jul,27,6,6,Saturday,1,Monsoon/Summer
2024-07-07,2024,Q3,3,7,July,Jul,27,7,7,Sunday,1,Monsoon/Summer
2024-07-08,2024,Q3,3,7,July,Jul,28,8,1,Monday,0,Monsoon/Summer
2024-07-09,2024,Q3,3,7,July,Jul,28,9,2,Tuesday,0,Monsoon/Summer
2024-07-10,2024,Q3,3,7,July,Jul,28,10,3,Wednesday,0,Monsoon/Summer
2024-07-11,2024,Q3,3,7,July,Jul,28,11,4,Thursday,0,Monsoon/Summer
2024-07-12,2024,Q3,3,7,July,Jul,28,12,5,Friday,0,Monsoon/Summer
2024-07-13,2024,Q3,3,7,July,Jul,28,13,6,Saturday,1,Monsoon/Summer
2024-07-14,2024,Q3,3,7,July,Jul,28,14,7,Sunday,1,Monsoon/Summer
2024-07-15,2024,Q3,3,7,July,Jul,29,15,1,Monday,0,Monsoon/Summer
2024-07-16,2024,Q3,3,7,July,Jul,29,16,2,Tuesday,0,Monsoon/Summer
2024-07-17,2024,Q3,3,7,July,Jul,29,17,3,Wednesday,0,Monsoon/Summer
2024-07-18,2024,Q3,3,7,July,Jul,29,18,4,Thursday,0,Monsoon/Summer
2024-07-19,2024,Q3,3,7,July,Jul,29,19,5,Friday,0,Monsoon/Summer
2024-07-20,2024,Q3,3,7,July,Jul,29,20,6,Saturday,1,Monsoon/Summer
2024-07-21,2024,Q3,3,7,July,Jul,29,21,7,Sunday,1,Monsoon/Summer
2024-07-22,2024,Q3,3,7,July,Jul,30,22,1,Monday,0,Monsoon/Summer
2024-07-23,2024,Q3,3,7,July,Jul,30,23,2,Tuesday,0,Monsoon/Summer
2024-07-24,2024,Q3,3,7,July,Jul,30,24,3,Wednesday,0,Monsoon/Summer
2024-07-25,2024,Q3,3,7,July,Jul,30,25,4,Thursday,0,Monsoon/Summer
2024-07-26,2024,Q3,3,7,July,Jul,30,26,5,Friday,0,Monsoon/Summer
2024-07-27,2024,Q3,3,7,July,Jul,30,27,6,Saturday,1,Monsoon/Summer
2024-07-28,2024,Q3,3,7,July,Jul,30,28,7,Sunday,1,Monsoon/Summer
2024-07-29,2024,Q3,3,7,July,Jul,31,29,1,Monday,0,Monsoon/Summer
2024-07-30,2024,Q3,3,7,July,Jul,31,30,2,Tuesday,0,Monsoon/Summer
2024-07-31,2024,Q3,3,7,July,Jul,31,31,3,Wednesday,0,Monsoon/Summer
2024-08-01,2024,Q3,3,8,August,Aug,31,1,4,Thursday,0,Monsoon/Summer
2024-08-02,2024,Q3,3,8,August,Aug,31,2,5,Friday,0,Monsoon/Summer
2024-08-03,2024,Q3,3,8,August,Aug,31,3,6,Saturday,1,Monsoon/Summer
2024-08-04,2024,Q3,3,8,August,Aug,31,4,7,Sunday,1,Monsoon/Summer
2024-08-05,2024,Q3,3,8,August,Aug,32,5,1,Monday,0,Monsoon/Summer
2024-08-06,2024,Q3,3,8,August,Aug,32,6,2,Tuesday,0,Monsoon/Summer
2024-08-07,2024,Q3,3,8,August,Aug,32,7,3,Wednesday,0,Monsoon/Summer
2024-08-08,2024,Q3,3,8,August,Aug,32,8,4,Thursday,0,Monsoon/Summer
2024-08-09,2024,Q3,3,8,August,Aug,32,9,5,Friday,0,Monsoon/Summer
2024-08-10,2024,Q3,3,8,August,Aug,32,10,6,Saturday,1,Monsoon/Summer
2024-08-11,2024,Q3,3,8,August,Aug,32,11,7,Sunday,1,Monsoon/Summer
2024-08-12,2024,Q3,3,8,August,Aug,33,12,1,Monday,0,Monsoon/Summer
2024-08-13,2024,Q3,3,8,August,Aug,33,13,2,Tuesday,0,Monsoon/Summer
2024-08-14,2024,Q3,3,8,August,Aug,33,14,3,Wednesday,0,Monsoon/Summer
2024-08-15,2024,Q3,3,8,August,Aug,33,15,4,Thursday,0,Monsoon/Summer
2024-08-16,2024,Q3,3,8,August,Aug,33,16,5,Friday,0,Monsoon/Summer
2024-08-17,2024,Q3,3,8,August,Aug,33,17,6,Saturday,1,Monsoon/Summer
2024-08-18,2024,Q3,3,8,August,Aug,33,18,7,Sunday,1,Monsoon/Summer
2024-08-19,2024,Q3,3,8,August,Aug,34,19,1,Monday,0,Monsoon/Summer
2024-08-20,2024,Q3,3,8,August,Aug,34,20,2,Tuesday,0,Monsoon/Summer
2024-08-21,2024,Q3,3,8,August,Aug,34,21,3,Wednesday,0,Monsoon/Summer
2024-08-22,2024,Q3,3,8,August,Aug,34,22,4,Thursday,0,Monsoon/Summer
2024-08-23,2024,Q3,3,8,August,Aug,34,23,5,Friday,0,Monsoon/Summer
2024-08-24,2024,Q3,3,8,August,Aug,34,24,6,Saturday,1,Monsoon/Summer
2024-08-25,2024,Q3,3,8,August,Aug,34,25,7,Sunday,1,Monsoon/Summer
2024-08-26,2024,Q3,3,8,August,Aug,35,26,1,Monday,0,Monsoon/Summer
2024-08-27,2024,Q3,3,8,August,Aug,35,27,2,Tuesday,0,Monsoon/Summer
2024-08-28,2024,Q3,3,8,August,Aug,35,28,3,Wednesday,0,Monsoon/Summer
2024-08-29,2024,Q3,3,8,August,Aug,35,29,4,Thursday,0,Monsoon/Summer
2024-08-30,2024,Q3,3,8,August,Aug,35,30,5,Friday,0,Monsoon/Summer
2024-08-31,2024,Q3,3,8,August,Aug,35,31,6,Saturday,1,Monsoon/Summer
2024-09-01,2024,Q3,3,9,September,Sep,35,1,7,Sunday,1,Monsoon/Summer
2024-09-02,2024,Q3,3,9,September,Sep,36,2,1,Monday,0,Monsoon/Summer
2024-09-03,2024,Q3,3,9,September,Sep,36,3,2,Tuesday,0,Monsoon/Summer
2024-09-04,2024,Q3,3,9,September,Sep,36,4,3,Wednesday,0,Monsoon/Summer
2024-09-05,2024,Q3,3,9,September,Sep,36,5,4,Thursday,0,Monsoon/Summer
2024-09-06,2024,Q3,3,9,September,Sep,36,6,5,Friday,0,Monsoon/Summer
2024-09-07,2024,Q3,3,9,September,Sep,36,7,6,Saturday,1,Monsoon/Summer
2024-09-08,2024,Q3,3,9,September,Sep,36,8,7,Sunday,1,Monsoon/Summer
2024-09-09,2024,Q3,3,9,September,Sep,37,9,1,Monday,0,Monsoon/Summer
2024-09-10,2024,Q3,3,9,September,Sep,37,10,2,Tuesday,0,Monsoon/Summer
2024-09-11,2024,Q3,3,9,September,Sep,37,11,3,Wednesday,0,Monsoon/Summer
2024-09-12,2024,Q3,3,9,September,Sep,37,12,4,Thursday,0,Monsoon/Summer
2024-09-13,2024,Q3,3,9,September,Sep,37,13,5,Friday,0,Monsoon/Summer
2024-09-14,2024,Q3,3,9,September,Sep,37,14,6,Saturday,1,Monsoon/Summer
2024-09-15,2024,Q3,3,9,September,Sep,37,15,7,Sunday,1,Monsoon/Summer
2024-09-16,2024,Q3,3,9,September,Sep,38,16,1,Monday,0,Monsoon/Summer
2024-09-17,2024,Q3,3,9,September,Sep,38,17,2,Tuesday,0,Monsoon/Summer
2024-09-18,2024,Q3,3,9,September,Sep,38,18,3,Wednesday,0,Monsoon/Summer
2024-09-19,2024,Q3,3,9,September,Sep,38,19,4,Thursday,0,Monsoon/Summer
2024-09-20,2024,Q3,3,9,September,Sep,38,20,5,Friday,0,Monsoon/Summer
2024-09-21,2024,Q3,3,9,September,Sep,38,21,6,Saturday,1,Monsoon/Summer
2024-09-22,2024,Q3,3,9,September,Sep,38,22,7,Sunday,1,Monsoon/Summer
2024-09-23,2024,Q3,3,9,September,Sep,39,23,1,Monday,0,Monsoon/Summer
2024-09-24,2024,Q3,3,9,September,Sep,39,24,2,Tuesday,0,Monsoon/Summer
2024-09-25,2024,Q3,3,9,September,Sep,39,25,3,Wednesday,0,Monsoon/Summer
2024-09-26,2024,Q3,3,9,September,Sep,39,26,4,Thursday,0,Monsoon/Summer
2024-09-27,2024,Q3,3,9,September,Sep,39,27,5,Friday,0,Monsoon/Summer
2024-09-28,2024,Q3,3,9,September,Sep,39,28,6,Saturday,1,Monsoon/Summer
2024-09-29,2024,Q3,3,9,September,Sep,39,29,7,Sunday,1,Monsoon/Summer
2024-09-30,2024,Q3,3,9,September,Sep,40,30,1,Monday,0,Monsoon/Summer
2024-10-01,2024,Q4,4,10,October,Oct,40,1,2,Tuesday,0,Festive Q4
2024-10-02,2024,Q4,4,10,October,Oct,40,2,3,Wednesday,0,Festive Q4
2024-10-03,2024,Q4,4,10,October,Oct,40,3,4,Thursday,0,Festive Q4
2024-10-04,2024,Q4,4,10,October,Oct,40,4,5,Friday,0,Festive Q4
2024-10-05,2024,Q4,4,10,October,Oct,40,5,6,Saturday,1,Festive Q4
2024-10-06,2024,Q4,4,10,October,Oct,40,6,7,Sunday,1,Festive Q4
2024-10-07,2024,Q4,4,10,October,Oct,41,7,1,Monday,0,Festive Q4
2024-10-08,2024,Q4,4,10,October,Oct,41,8,2,Tuesday,0,Festive Q4
2024-10-09,2024,Q4,4,10,October,Oct,41,9,3,Wednesday,0,Festive Q4
2024-10-10,2024,Q4,4,10,October,Oct,41,10,4,Thursday,0,Festive Q4
2024-10-11,2024,Q4,4,10,October,Oct,41,11,5,Friday,0,Festive Q4
2024-10-12,2024,Q4,4,10,October,Oct,41,12,6,Saturday,1,Festive Q4
2024-10-13,2024,Q4,4,10,October,Oct,41,13,7,Sunday,1,Festive Q4
2024-10-14,2024,Q4,4,10,October,Oct,42,14,1,Monday,0,Festive Q4
2024-10-15,2024,Q4,4,10,October,Oct,42,15,2,Tuesday,0,Festive Q4
2024-10-16,2024,Q4,4,10,October,Oct,42,16,3,Wednesday,0,Festive Q4
2024-10-17,2024,Q4,4,10,October,Oct,42,17,4,Thursday,0,Festive Q4
2024-10-18,2024,Q4,4,10,October,Oct,42,18,5,Friday,0,Festive Q4
2024-10-19,2024,Q4,4,10,October,Oct,42,19,6,Saturday,1,Festive Q4
2024-10-20,2024,Q4,4,10,October,Oct,42,20,7,Sunday,1,Festive Q4
2024-10-21,2024,Q4,4,10,October,Oct,43,21,1,Monday,0,Festive Q4
2024-10-22,2024,Q4,4,10,October,Oct,43,22,2,Tuesday,0,Festive Q4
2024-10-23,2024,Q4,4,10,October,Oct,43,23,3,Wednesday,0,Festive Q4
2024-10-24,2024,Q4,4,10,October,Oct,43,24,4,Thursday,0,Festive Q4
2024-10-25,2024,Q4,4,10,October,Oct,43,25,5,Friday,0,Festive Q4
2024-10-26,2024,Q4,4,10,October,Oct,43,26,6,Saturday,1,Festive Q4
2024-10-27,2024,Q4,4,10,October,Oct,43,27,7,Sunday,1,Festive Q4
2024-10-28,2024,Q4,4,10,October,Oct,44,28,1,Monday,0,Festive Q4
2024-10-29,2024,Q4,4,10,October,Oct,44,29,2,Tuesday,0,Festive Q4
2024-10-30,2024,Q4,4,10,October,Oct,44,30,3,Wednesday,0,Festive Q4
2024-10-31,2024,Q4,4,10,October,Oct,44,31,4,Thursday,0,Festive Q4
2024-11-01,2024,Q4,4,11,November,Nov,44,1,5,Friday,0,Festive Q4
2024-11-02,2024,Q4,4,11,November,Nov,44,2,6,Saturday,1,Festive Q4
2024-11-03,2024,Q4,4,11,November,Nov,44,3,7,Sunday,1,Festive Q4
2024-11-04,2024,Q4,4,11,November,Nov,45,4,1,Monday,0,Festive Q4
2024-11-05,2024,Q4,4,11,November,Nov,45,5,2,Tuesday,0,Festive Q4
2024-11-06,2024,Q4,4,11,November,Nov,45,6,3,Wednesday,0,Festive Q4
2024-11-07,2024,Q4,4,11,November,Nov,45,7,4,Thursday,0,Festive Q4
2024-11-08,2024,Q4,4,11,November,Nov,45,8,5,Friday,0,Festive Q4
2024-11-09,2024,Q4,4,11,November,Nov,45,9,6,Saturday,1,Festive Q4
2024-11-10,2024,Q4,4,11,November,Nov,45,10,7,Sunday,1,Festive Q4
2024-11-11,2024,Q4,4,11,November,Nov,46,11,1,Monday,0,Festive Q4
2024-11-12,2024,Q4,4,11,November,Nov,46,12,2,Tuesday,0,Festive Q4
