Product_ID,Product_Name,Category,Store_ID,Store_Name,Current_Price,Competitor_Price,Recommended_Price,Price_Change_Percent,Competitor_Gap_Percent,Current_Predicted_Demand,Recommended_Predicted_Demand,Demand_Change_Percent,Current_Expected_Revenue,Recommended_Expected_Revenue,Revenue_Improvement_Percent,Unit_Cost,Current_Expected_Profit,Recommended_Expected_Profit,Confidence_Level,Confidence_Rationale,Recommendation_Reason,Guardrail_Status,Profit_Lift_Percent
PROD_03,Portable Bluetooth Speaker,Electronics,STORE_03,Mumbai High Street Mall,1499.0,1561.2,1633.91,9.0,4.66,103.59,100.94,-2.56,155288.79,164925.57,6.21,850.55,67176.13,79071.73,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1633.91 captures margin while keeping competitor gap at 4.7%, yielding expected revenue lift of +6.21%.",PASSED,17.71
PROD_03,Portable Bluetooth Speaker,Electronics,STORE_04,Kolkata City Center,1499.0,1572.18,1633.91,9.0,3.93,70.42,68.19,-3.17,105553.23,111416.64,5.55,850.55,45661.1,53417.47,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1633.91 captures margin while keeping competitor gap at 3.9%, yielding expected revenue lift of +5.55%.",PASSED,16.99
PROD_04,Fast-Charging 20000mAh Power Bank,Electronics,STORE_01,Delhi Flagship Metro,959.04,1087.81,1054.94,10.0,-3.02,134.9,131.09,-2.82,129374.61,138288.93,6.89,554.5,54572.5,65601.19,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1054.94 captures margin while keeping competitor gap at -3.0%, yielding expected revenue lift of +6.89%.",PASSED,20.21
PROD_04,Fast-Charging 20000mAh Power Bank,Electronics,STORE_02,Bengaluru Tech Park Store,899.1,938.72,980.02,9.0,4.4,164.86,159.89,-3.01,148229.14,156696.16,5.71,554.5,56812.1,68036.72,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 980.02 captures margin while keeping competitor gap at 4.4%, yielding expected revenue lift of +5.71%.",PASSED,19.76
PROD_04,Fast-Charging 20000mAh Power Bank,Electronics,STORE_03,Mumbai High Street Mall,999.0,963.53,1008.99,1.0,4.72,118.55,119.68,0.95,118434.02,120751.14,1.96,554.5,52696.62,54391.21,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1008.99 captures margin while keeping competitor gap at 4.7%, yielding expected revenue lift of +1.96%.",PASSED,3.22
PROD_04,Fast-Charging 20000mAh Power Bank,Electronics,STORE_04,Kolkata City Center,999.0,1021.0,1068.93,7.0,4.69,95.95,94.17,-1.86,95857.03,100656.8,5.01,554.5,42651.1,48441.79,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1068.93 captures margin while keeping competitor gap at 4.7%, yielding expected revenue lift of +5.01%.",PASSED,13.58
PROD_05,Organic Basmati Rice 5kg,Groceries,STORE_01,Delhi Flagship Metro,450.0,453.93,472.5,5.0,4.09,183.65,183.3,-0.19,82644.23,86607.13,4.8,334.08,21289.16,25371.76,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 472.50 captures margin while keeping competitor gap at 4.1%, yielding expected revenue lift of +4.80%.",PASSED,19.18
PROD_05,Organic Basmati Rice 5kg,Groceries,STORE_02,Bengaluru Tech Park Store,427.5,446.53,465.97,9.0,4.35,230.33,232.67,1.02,98466.84,108419.29,10.11,334.08,21517.6,30687.43,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 465.97 captures margin while keeping competitor gap at 4.3%, yielding expected revenue lift of +10.11%.",PASSED,42.62
PROD_05,Organic Basmati Rice 5kg,Groceries,STORE_03,Mumbai High Street Mall,405.0,470.28,445.5,10.0,-5.27,252.57,248.55,-1.59,102290.38,110730.57,8.25,334.08,17912.18,27693.83,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 445.50 captures margin while keeping competitor gap at -5.3%, yielding expected revenue lift of +8.25%.",PASSED,54.61
PROD_05,Organic Basmati Rice 5kg,Groceries,STORE_04,Kolkata City Center,441.0,432.53,445.41,1.0,2.98,131.43,130.67,-0.58,57960.76,58202.21,0.42,334.08,14052.53,14547.61,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 445.41 captures margin while keeping competitor gap at 3.0%, yielding expected revenue lift of +0.42%.",PASSED,3.52
PROD_06,Extra Virgin Olive Oil 1L,Groceries,STORE_01,Delhi Flagship Metro,850.0,819.0,858.5,1.0,4.82,80.77,80.23,-0.67,68655.75,68875.37,0.32,606.79,19644.43,20194.08,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 858.50 captures margin while keeping competitor gap at 4.8%, yielding expected revenue lift of +0.32%.",PASSED,2.8
PROD_06,Extra Virgin Olive Oil 1L,Groceries,STORE_02,Bengaluru Tech Park Store,816.0,892.76,892.76,9.41,0.0,74.65,74.41,-0.32,60917.74,66428.76,9.05,606.79,15618.38,21278.55,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 892.76 captures margin while keeping competitor gap at 0.0%, yielding expected revenue lift of +9.05%.",PASSED,36.24
PROD_06,Extra Virgin Olive Oil 1L,Groceries,STORE_03,Mumbai High Street Mall,850.0,847.61,884.0,4.0,4.29,85.82,86.61,0.92,72947.37,76563.3,4.96,606.79,20872.39,24009.18,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 884.00 captures margin while keeping competitor gap at 4.3%, yielding expected revenue lift of +4.96%.",PASSED,15.03
PROD_06,Extra Virgin Olive Oil 1L,Groceries,STORE_04,Kolkata City Center,850.0,881.8,918.0,8.0,4.11,55.93,55.88,-0.09,47537.46,51293.45,7.9,606.79,13601.87,17388.92,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 918.00 captures margin while keeping competitor gap at 4.1%, yielding expected revenue lift of +7.90%.",PASSED,27.84
PROD_07,Premium Arabica Coffee Beans 500g,Groceries,STORE_01,Delhi Flagship Metro,599.0,588.34,616.97,3.0,4.87,111.89,111.1,-0.71,67024.34,68545.54,2.27,407.89,21384.01,23228.85,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 616.97 captures margin while keeping competitor gap at 4.9%, yielding expected revenue lift of +2.27%.",PASSED,8.63
PROD_07,Premium Arabica Coffee Beans 500g,Groceries,STORE_02,Bengaluru Tech Park Store,509.15,625.95,549.88,8.0,-12.15,167.72,163.78,-2.35,85394.03,90057.24,5.46,407.89,16983.2,23254.58,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 549.88 captures margin while keeping competitor gap at -12.2%, yielding expected revenue lift of +5.46%.",PASSED,36.93
PROD_07,Premium Arabica Coffee Beans 500g,Groceries,STORE_03,Mumbai High Street Mall,599.0,621.76,640.93,7.0,3.08,112.32,111.85,-0.42,67280.25,71689.29,6.55,407.89,21465.66,26065.99,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 640.93 captures margin while keeping competitor gap at 3.1%, yielding expected revenue lift of +6.55%.",PASSED,21.43
PROD_07,Premium Arabica Coffee Beans 500g,Groceries,STORE_04,Kolkata City Center,599.0,578.7,604.99,1.0,4.54,80.03,79.3,-0.91,47935.58,47975.39,0.08,407.89,15293.77,15629.92,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 604.99 captures margin while keeping competitor gap at 4.5%, yielding expected revenue lift of +0.08%.",PASSED,2.2
PROD_08,Almond & Oat Milk 1L Pack of 3,Groceries,STORE_01,Delhi Flagship Metro,323.0,386.62,352.07,9.0,-8.94,184.26,183.11,-0.62,59517.59,64468.9,8.32,268.46,10049.81,15310.15,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 352.07 captures margin while keeping competitor gap at -8.9%, yielding expected revenue lift of +8.32%.",PASSED,52.34
PROD_08,Almond & Oat Milk 1L Pack of 3,Groceries,STORE_02,Bengaluru Tech Park Store,380.0,338.72,353.4,-7.0,4.33,130.4,128.81,-1.22,49550.51,45519.78,-8.13,268.46,14544.38,10940.72,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price reduction to INR 353.40 stimulates demand volume (128.81 units), driving expected revenue lift of +-8.13%.",PASSED,-24.78
PROD_08,Almond & Oat Milk 1L Pack of 3,Groceries,STORE_03,Mumbai High Street Mall,361.0,368.33,386.27,7.0,4.87,180.25,179.33,-0.51,65070.83,69269.56,6.45,268.46,16680.48,21126.79,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 386.27 captures margin while keeping competitor gap at 4.9%, yielding expected revenue lift of +6.45%.",PASSED,26.66
PROD_08,Almond & Oat Milk 1L Pack of 3,Groceries,STORE_04,Kolkata City Center,380.0,373.01,391.4,3.0,4.93,105.11,105.16,0.05,39940.77,41158.06,3.05,268.46,11723.66,12927.88,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 391.40 captures margin while keeping competitor gap at 4.9%, yielding expected revenue lift of +3.05%.",PASSED,10.27
PROD_09,Breathable Running Shoes,Apparel,STORE_01,Delhi Flagship Metro,2499.0,2487.49,2598.96,4.0,4.48,58.87,58.7,-0.29,147106.27,152546.73,3.7,1352.31,67501.12,73172.49,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2598.96 captures margin while keeping competitor gap at 4.5%, yielding expected revenue lift of +3.70%.",PASSED,8.4
PROD_09,Breathable Running Shoes,Apparel,STORE_02,Bengaluru Tech Park Store,2499.0,2609.32,2723.91,9.0,4.39,57.71,57.2,-0.88,144210.21,155817.09,8.05,1352.31,66172.23,78460.27,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2723.91 captures margin while keeping competitor gap at 4.4%, yielding expected revenue lift of +8.05%.",PASSED,18.57
PROD_09,Breathable Running Shoes,Apparel,STORE_03,Mumbai High Street Mall,2399.04,2430.67,2542.98,6.0,4.62,67.75,67.74,-0.01,162527.46,172257.27,5.99,1352.31,70912.69,80654.02,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2542.98 captures margin while keeping competitor gap at 4.6%, yielding expected revenue lift of +5.99%.",PASSED,13.74
PROD_09,Breathable Running Shoes,Apparel,STORE_04,Kolkata City Center,2499.0,2373.57,2474.01,-1.0,4.23,42.86,42.93,0.16,107108.88,106199.28,-0.85,1352.31,49147.93,48150.06,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price reduction to INR 2474.01 stimulates demand volume (42.93 units), driving expected revenue lift of +-0.85%.",PASSED,-2.03
PROD_10,Classic Denim Jacket,Apparel,STORE_01,Delhi Flagship Metro,1799.1,1976.3,1976.3,9.85,0.0,85.95,85.91,-0.05,154631.32,169785.4,9.8,1090.26,60924.27,76120.35,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1976.30 captures margin while keeping competitor gap at 0.0%, yielding expected revenue lift of +9.80%.",PASSED,24.94
PROD_10,Classic Denim Jacket,Apparel,STORE_02,Bengaluru Tech Park Store,1599.2,1994.69,1567.22,-2.0,-21.43,89.47,96.67,8.05,143081.33,151497.77,5.88,1090.26,45535.15,46106.08,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price reduction to INR 1567.22 stimulates demand volume (96.67 units), driving expected revenue lift of +5.88%.",PASSED,1.25
PROD_10,Classic Denim Jacket,Apparel,STORE_03,Mumbai High Street Mall,1499.25,1853.17,1634.18,9.0,-11.82,112.44,105.27,-6.38,168575.03,172022.19,2.04,1090.26,45986.66,57255.81,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1634.18 captures margin while keeping competitor gap at -11.8%, yielding expected revenue lift of +2.04%.",PASSED,24.51
PROD_10,Classic Denim Jacket,Apparel,STORE_04,Kolkata City Center,1799.1,1859.18,1943.03,8.0,4.51,56.69,56.27,-0.74,101989.16,109337.63,7.21,1090.26,40183.42,47986.83,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1943.03 captures margin while keeping competitor gap at 4.5%, yielding expected revenue lift of +7.21%.",PASSED,19.42
PROD_11,Organic Cotton Crew-Neck T-Shirt,Apparel,STORE_01,Delhi Flagship Metro,629.1,662.75,692.01,10.0,4.41,248.84,244.18,-1.87,156547.57,168973.97,7.94,339.8,71990.48,86002.11,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 692.01 captures margin while keeping competitor gap at 4.4%, yielding expected revenue lift of +7.94%.",PASSED,19.46
PROD_11,Organic Cotton Crew-Neck T-Shirt,Apparel,STORE_02,Bengaluru Tech Park Store,699.0,698.7,726.96,4.0,4.04,160.8,158.1,-1.68,112401.21,114930.61,2.25,339.8,57760.39,61209.06,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 726.96 captures margin while keeping competitor gap at 4.0%, yielding expected revenue lift of +2.25%.",PASSED,5.97
PROD_11,Organic Cotton Crew-Neck T-Shirt,Apparel,STORE_03,Mumbai High Street Mall,664.05,742.98,730.45,10.0,-1.69,255.66,246.95,-3.41,169772.19,180387.34,6.25,339.8,82898.32,96472.47,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 730.45 captures margin while keeping competitor gap at -1.7%, yielding expected revenue lift of +6.25%.",PASSED,16.37
PROD_11,Organic Cotton Crew-Neck T-Shirt,Apparel,STORE_04,Kolkata City Center,664.05,706.29,717.17,8.0,1.54,171.29,168.41,-1.68,113745.82,120775.99,6.18,339.8,55541.12,63551.51,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 717.17 captures margin while keeping competitor gap at 1.5%, yielding expected revenue lift of +6.18%.",PASSED,14.42
PROD_12,High-Waist Performance Yoga Pants,Apparel,STORE_01,Delhi Flagship Metro,1299.0,1332.97,1389.93,7.0,4.27,94.96,95.36,0.42,123350.16,132548.72,7.46,715.9,55369.88,64277.92,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1389.93 captures margin while keeping competitor gap at 4.3%, yielding expected revenue lift of +7.46%.",PASSED,16.09
PROD_12,High-Waist Performance Yoga Pants,Apparel,STORE_02,Bengaluru Tech Park Store,1169.1,1359.87,1274.32,9.0,-6.29,123.3,120.03,-2.65,144148.17,152956.35,6.11,715.9,55878.84,67027.03,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1274.32 captures margin while keeping competitor gap at -6.3%, yielding expected revenue lift of +6.11%.",PASSED,19.95
PROD_12,High-Waist Performance Yoga Pants,Apparel,STORE_03,Mumbai High Street Mall,1104.15,1172.8,1203.52,9.0,2.62,145.21,145.92,0.49,160330.21,175613.32,9.53,715.9,56376.58,71151.76,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1203.52 captures margin while keeping competitor gap at 2.6%, yielding expected revenue lift of +9.53%.",PASSED,26.21
PROD_12,High-Waist Performance Yoga Pants,Apparel,STORE_04,Kolkata City Center,1299.0,1223.87,1273.02,-2.0,4.02,65.57,66.23,1.01,85178.25,84307.88,-1.02,715.9,38235.13,36896.2,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price reduction to INR 1273.02 stimulates demand volume (66.23 units), driving expected revenue lift of +-1.02%.",PASSED,-3.5
PROD_13,Digital Touchscreen Air Fryer 4.5L,Home & Kitchen,STORE_01,Delhi Flagship Metro,3999.0,4081.31,4278.93,7.0,4.84,40.88,40.23,-1.59,163468.78,172148.21,5.31,2290.92,69821.89,79980.83,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 4278.93 captures margin while keeping competitor gap at 4.8%, yielding expected revenue lift of +5.31%.",PASSED,14.55
PROD_13,Digital Touchscreen Air Fryer 4.5L,Home & Kitchen,STORE_02,Bengaluru Tech Park Store,3999.0,3919.22,4078.98,2.0,4.08,35.9,35.69,-0.58,143576.14,145577.03,1.39,2290.92,61325.21,63815.09,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 4078.98 captures margin while keeping competitor gap at 4.1%, yielding expected revenue lift of +1.39%.",PASSED,4.06
PROD_13,Digital Touchscreen Air Fryer 4.5L,Home & Kitchen,STORE_03,Mumbai High Street Mall,3999.0,3952.36,4118.97,3.0,4.22,43.55,43.27,-0.64,174168.94,178225.73,2.33,2290.92,74392.22,79098.79,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 4118.97 captures margin while keeping competitor gap at 4.2%, yielding expected revenue lift of +2.33%.",PASSED,6.33
PROD_13,Digital Touchscreen Air Fryer 4.5L,Home & Kitchen,STORE_04,Kolkata City Center,3799.05,3659.21,3837.04,1.0,4.86,45.54,45.4,-0.31,173024.67,174215.98,0.69,2290.92,68686.57,70199.64,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 3837.04 captures margin while keeping competitor gap at 4.9%, yielding expected revenue lift of +0.69%.",PASSED,2.2
PROD_14,High-Speed Smoothie Blender 900W,Home & Kitchen,STORE_01,Delhi Flagship Metro,2155.02,2291.03,2370.52,10.0,3.47,66.4,66.31,-0.14,143101.55,157196.03,9.85,1275.7,58390.2,72600.68,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2370.52 captures margin while keeping competitor gap at 3.5%, yielding expected revenue lift of +9.85%.",PASSED,24.34
PROD_14,High-Speed Smoothie Blender 900W,Home & Kitchen,STORE_02,Bengaluru Tech Park Store,2089.05,2259.91,2277.06,9.0,0.76,87.75,87.2,-0.63,183322.57,198554.12,8.31,1275.7,71374.75,87316.17,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2277.06 captures margin while keeping competitor gap at 0.8%, yielding expected revenue lift of +8.31%.",PASSED,22.33
PROD_14,High-Speed Smoothie Blender 900W,Home & Kitchen,STORE_03,Mumbai High Street Mall,2199.0,2178.08,2286.96,4.0,5.0,64.91,64.42,-0.75,142726.91,147322.92,3.22,1275.7,59927.13,65144.02,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2286.96 captures margin while keeping competitor gap at 5.0%, yielding expected revenue lift of +3.22%.",PASSED,8.71
PROD_14,High-Speed Smoothie Blender 900W,Home & Kitchen,STORE_04,Kolkata City Center,2199.0,2077.3,2155.02,-2.0,3.74,40.23,40.88,1.62,88458.43,88097.66,-0.41,1275.7,37141.28,35946.78,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price reduction to INR 2155.02 stimulates demand volume (40.88 units), driving expected revenue lift of +-0.41%.",PASSED,-3.22
PROD_15,Non-Stick Ceramic Cookware Set 3pc,Home & Kitchen,STORE_01,Delhi Flagship Metro,2239.2,2855.76,2440.73,9.0,-14.53,83.96,78.93,-5.99,187998.45,192646.91,2.47,1615.57,52358.65,65129.91,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2440.73 captures margin while keeping competitor gap at -14.5%, yielding expected revenue lift of +2.47%.",PASSED,24.39
PROD_15,Non-Stick Ceramic Cookware Set 3pc,Home & Kitchen,STORE_02,Bengaluru Tech Park Store,2687.04,2912.55,2955.74,10.0,1.48,48.64,48.31,-0.68,130690.02,142780.74,9.25,1615.57,52113.27,64738.6,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2955.74 captures margin while keeping competitor gap at 1.5%, yielding expected revenue lift of +9.25%.",PASSED,24.23
PROD_15,Non-Stick Ceramic Cookware Set 3pc,Home & Kitchen,STORE_03,Mumbai High Street Mall,2519.1,2742.3,2745.82,9.0,0.13,76.62,76.14,-0.63,193023.65,209071.91,8.31,1615.57,69232.13,86059.37,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2745.82 captures margin while keeping competitor gap at 0.1%, yielding expected revenue lift of +8.31%.",PASSED,24.31
